SMI,canonical_smi,lambda_max_exp_nm,HeavyAtomCount,LargestConjugatedSystemSize,TPSA,NumHDonors,NumRotatableBonds,FractionCSP3,MolLogP_clipped,NumDonorGroups,NumAcceptorGroups,HasPushPull
OCCNCCNc1ccc(c2c1c(O)c1c(O)ccc(c1c2O)O)NCCNCCO,OCCNCCNc1ccc(NCCNCCO)c2c(O)c3c(O)ccc(O)c3c(O)c12,721.5,32,20,169.49999999999997,10,12,0.36363636363636365,0.8029999999999997,10,0,0
ClC(=O)OC(Cl)(Cl)Cl,O=C(Cl)OC(Cl)(Cl)Cl,345.0,8,3,26.3,0,0,0.5,2.6895,1,1,1
OCC1OC(CC1O)n1cc(C)c(=O)[nH]c1=O,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,349.0,17,8,104.54999999999998,3,2,0.6,-1.5142799999999992,3,0,0
N1CCN(CC1)c1ccccc1,c1ccc(N2CCNCC2)cc1,210.0,12,7,15.27,1,1,0.4,1.0961999999999998,2,0,0
CS(=O)C(Cc1ccc2c(c1)OCO2)C,CC(Cc1ccc2c(c1)OCO2)S(C)=O,210.0,15,8,35.53,0,3,0.45454545454545453,1.7247999999999999,2,0,0
OC(=O)CI,O=C(O)CI,529.0,5,3,37.3,1,1,0.5,0.506,1,1,1
COc1ccc(cc1I)c1nc2c([nH]1)cc(cc2)c1nc2c([nH]1)cc(cc2)N1CCN(CC1)C,COc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1I,544.5,34,26,73.07000000000001,2,4,0.23076923076923078,5.138200000000005,3,1,1
Clc1ccc(s1)c1onc(c1)Cn1c(cc2c1cccc2)C(=O)NC1CCN(CC1)C(C)C,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,554.5,33,12,63.300000000000004,1,6,0.36,5.662100000000005,2,2,1
N#Cc1c(C(=O)NC2CCN(CC2)C(C)C)n(c2c1cccc2C)Cc1noc(c1)c1ccc(s1)Cl,Cc1cccc2c(C#N)c(C(=O)NC3CCN(C(C)C)CC3)n(Cc3cc(-c4ccc(Cl)s4)on3)c12,576.5,36,14,87.09,1,6,0.37037037037037035,5.842200000000005,2,3,1
CC(CC(=O)O)C,CC(C)CC(=O)O,617.0,7,3,37.3,1,2,0.8,1.1171,1,1,1
COc1cc(cc(c1OC)OC)C(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,COc1cc(C(=O)OCCN2CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)cc(OC)c1OC,411.0,41,13,63.71000000000001,0,11,0.3870967741935484,5.833200000000006,8,2,1
O=C1OCC(=C1)[C@@H]1CC[C@]2([C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,220.0,54,5,182.82999999999998,5,7,0.926829268292683,3.2473000000000014,12,1,1
O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)CC[C@@H]2C1=CC(=O)OC1)C)C,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,220.0,27,5,66.76,2,1,0.8695652173913043,3.6043000000000034,3,1,1
CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CCCC2=CC=C1C[C@@H](O)CCC1=C)C)C,C=C1CC[C@H](O)CC1=CC=C1CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,265.0,28,6,20.23,1,6,0.7777777777777778,7.619000000000008,1,0,0
CCOC(=O)C(Oc1ccc(cc1)Cl)(C)C,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,278.0,16,7,35.53,0,4,0.4166666666666667,3.060500000000001,2,2,1
CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C)C,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,220.0,28,0,20.23,1,5,0.9259259259259259,7.388700000000009,1,0,0
c1ccc(c(c1)c1cc2c([nH]1)cccc2)c1cc2c([nH]1)cccc2,c1ccc(-c2cc3ccccc3[nH]2)c(-c2cc3ccccc3[nH]2)c1,293.0,24,24,31.58,2,2,0.0,5.983200000000004,0,0,0
CCN(c1ccc(c(c1)OCOc1cc(ccc1C=C(C#N)C#N)N(CC)CC)C=C1C([N+](=O)[O-])c2c(C1[N+](=O)[O-])cccc2)CC,CCN(CC)c1ccc(C=C(C#N)C#N)c(OCOc2cc(N(CC)CC)ccc2C=C2C([N+](=O)[O-])c3ccccc3C2[N+](=O)[O-])c1,602.0,47,14,158.8,0,14,0.3142857142857143,6.957660000000009,4,2,1
NCC[C@@H]([C@H](CCC(=O)O)CN)CC(=O)O,NCC[C@H](CC(=O)O)[C@@H](CN)CCC(=O)O,532.0,16,3,126.64,4,9,0.8,-0.13419999999999882,4,2,1
Cc1cccc(c1)CNC(=O)c1ncnc(c1)C(=O)NCc1cccc(c1)C,Cc1cccc(CNC(=O)c2cc(C(=O)NCc3cccc(C)c3)ncn2)c1,532.0,28,12,83.98,2,6,0.18181818181818182,2.9534400000000014,0,2,0
O=C(c1ncnc(c1)C(=O)NCc1ccc(c(c1)C)F)NCc1ccc(c(c1)C)F,Cc1cc(CNC(=O)c2cc(C(=O)NCc3ccc(F)c(C)c3)ncn2)ccc1F,532.0,30,12,83.98,2,6,0.18181818181818182,3.2316400000000023,0,4,0
NC(=N)c1ccc(cc1)OCOc1ccc(cc1)C(=N)N,N=C(N)c1ccc(OCOc2ccc(C(=N)N)cc2)cc1,650.0,21,10,118.2,4,6,0.06666666666666667,1.6700400000000002,4,0,0
c1ccc(cc1)c1ccc(cc1)c1ccccc1,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,279.0,18,18,0.0,0,2,0.0,5.0206000000000035,0,0,0
c1csc(c1)c1sccc1c1cccs1,c1csc(-c2ccsc2-c2cccs2)c1,350.0,15,15,0.0,0,2,0.0,5.2051000000000025,3,0,0
S1CC=CC=C1,C1=CCSC=C1,349.0,6,4,0.0,0,0,0.2,1.8031,1,0,0
c1ccc(nc1)c1[nH]ncc1c1ccnc2c1cccc2,c1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,347.0,21,21,54.46,1,2,0.0,3.6869000000000014,0,0,0
SCc1cccnc1,SCc1cccnc1,325.0,8,6,12.89,1,1,0.16666666666666666,1.5113999999999996,0,0,0
COc1ccc2c(c1)[nH]c(n2)S(=O)Cc1ncc(c(c1C)OC)C,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,302.0,24,10,77.1,1,5,0.29411764705882354,2.8997400000000004,2,0,0
OC(c1cc(Cl)c(c(c1)Cl)N)CNC(C)(C)C.[Cl-].[H+],CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1.[Cl-].[H+],298.0,18,7,58.28,3,3,0.5,0.11360000000000026,3,2,1
O=C1C(CCc2c1c1ccccc1n2C)Cn1ccnc1C.O.O.[Cl-].[H+],Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O.O.O.[Cl-].[H+],305.0,25,11,102.82,0,2,0.3333333333333333,-1.4043799999999993,0,1,0
CCN(c1ccc(c(c1)C)N=Nc1ccc(cc1)S(=O)(=O)O)CC,CCN(CC)c1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)c(C)c1,860.0,24,15,82.33,1,6,0.29411764705882354,4.503320000000003,2,1,1
c1ccc(cc1)C=Cc1ccc(cc1c1cc(ccc1C=Cc1ccccc1)C=Cc1ccccc1)C=Cc1ccccc1,C(=Cc1ccc(C=Cc2ccccc2)c(-c2cc(C=Cc3ccccc3)ccc2C=Cc2ccccc2)c1)c1ccccc1,360.0,44,44,0.0,0,9,0.0,12.035199999999984,0,0,0
Oc1ccccc1c1nc2c(s1)cccc2,Oc1ccccc1-c1nc2ccccc2s1,333.0,16,16,33.120000000000005,1,1,0.0,3.6689000000000016,2,0,0
Fc1ccc2c(c1)sc(n2)c1ccccc1OCc1ccccc1,Fc1ccc2nc(-c3ccccc3OCc3ccccc3)sc2c1,322.0,24,16,22.12,0,4,0.05,5.681400000000003,2,1,1
