SMI,canonical_smi,lambda_max_exp_nm,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumAromaticRings,FractionCSP3,HeavyAtomCount,NumValenceElectrons,MolLogP_clipped
C=Cc1ccccc1.C=CC=C.C=CC#N,C=CC#N.C=CC=C.C=Cc1ccccc1,770.0,211.30800000000002,4.383980000000003,23.79,0,1,2,1,1,0.0,16,82,4.383980000000003
c1ccc(cc1)c1cc(c(cc1c1ccccc1N(c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1N(c1ccccc1)c1ccccc1,c1ccc(-c2cc(-c3ccccc3N(c3ccccc3)c3ccccc3)c(-c3ccccc3)cc2-c2ccccc2N(c2ccccc2)c2ccccc2)cc1,415.0,716.9280000000001,15.294199999999968,6.48,0,2,10,9,9,0.0,56,266,15.0
c1ccc(cc1)Cc1cc(c(cc1c1ccccc1N(c1ccccc1)c1ccccc1)Cc1ccccc1)c1ccccc1N(c1ccccc1)c1ccccc1,c1ccc(Cc2cc(-c3ccccc3N(c3ccccc3)c3ccccc3)c(Cc3ccccc3)cc2-c2ccccc2N(c2ccccc2)c2ccccc2)cc1,410.0,744.9820000000002,15.141799999999968,6.48,0,2,12,9,9,0.03571428571428571,58,278,15.0
c1ccc(cc1)N(c1ccccc1c1cc(c(cc1c1cccc2c1cccc2)c1ccccc1N(c1ccccc1)c1ccccc1)c1cccc2c1cccc2)c1ccccc1,c1ccc(N(c2ccccc2)c2ccccc2-c2cc(-c3cccc4ccccc34)c(-c3ccccc3N(c3ccccc3)c3ccccc3)cc2-c2cccc3ccccc23)cc1,419.0,817.0480000000002,17.600599999999986,6.48,0,2,10,11,11,0.0,64,302,15.0
[O-]S(=O)[O-],O=S([O-])[O-],280.0,80.064,-1.0040999999999998,63.19,0,3,0,0,0,0.0,4,26,-1.0040999999999998
OCCN1C(C=Cc2ccc(cc2)N=NC=C2N(C)c3c(C2(C)C)cccc3)Sc2c1cccc2.[I-],CN1C(=CN=Nc2ccc(C=CC3Sc4ccccc4N3CCO)cc2)C(C)(C)c2ccccc21.[I-],574.0,609.5570000000002,3.987200000000004,51.43000000000001,1,6,6,5,3,0.2413793103448276,36,186,3.987200000000004
OCCN1CC=C(c2c1cccc2)C=Cc1ccc(cc1)N=NC=C1N(C)c2c(C1(C)C)cccc2.[I-],CN1C(=CN=Nc2ccc(C=CC3=CCN(CCO)c4ccccc43)cc2)C(C)(C)c2ccccc21.[I-],551.0,603.5280000000002,3.9524000000000035,51.43000000000001,1,5,6,5,3,0.22580645161290322,37,190,3.9524000000000035
CC(c1ccc(cc1)n1c(nc2c1c1ccc(cc1c1c2ccc(c1)c1ccc2c(c1)c1ccccc1n2c1ccccc1)c1ccc2c(c1)c1ccccc1n2c1ccccc1)c1ccc(cc1)C(C)(C)C)(C)C,CC(C)(C)c1ccc(-c2nc3c4ccc(-c5ccc6c(c5)c5ccccc5n6-c5ccccc5)cc4c4cc(-c5ccc6c(c5)c5ccccc5n6-c5ccccc5)ccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,258.0,965.2569999999998,19.122099999999996,27.68,0,1,6,14,14,0.11267605633802817,75,360,15.0
Cc1ccc(s1)C#Cc1ccc(cc1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)C)C=C3)c1ccc(cc1)C#Cc1ccc(s1)C)[nH]2)C,Cc1ccc(C#Cc2ccc(-c3c4nc(c(C)c5ccc([nH]5)c(-c5ccc(C#Cc6ccc(C)s6)cc5)c5nc(c(C)c6ccc3[nH]6)C=C5)C=C4)cc2)s1,422.0,730.9620000000001,12.145879999999984,57.36,2,4,2,9,7,0.08333333333333333,54,258,12.145879999999984
O=P(c1ccc2c(c1)c1ccccc1C12c2ccccc2c2c1cccc2)(c1ccc2c(c1)c1ccccc1C12c2ccccc2c2c1cccc2)c1ccccc1,O=P(c1ccccc1)(c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccccc21)c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccccc21,294.0,754.8690000000001,12.012999999999984,17.07,0,1,3,13,9,0.03571428571428571,58,270,12.012999999999984
COC(=O)C1Cc2cc(Cl)ccc2OC1,COC(=O)C1COc2ccc(Cl)cc2C1,230.0,226.659,2.0641,35.53,0,3,1,2,1,0.36363636363636365,15,80,2.0641
C1CNC1=O,O=C1CCN1,208.0,71.079,-0.49369999999999997,29.1,1,1,0,1,0,0.6666666666666666,5,28,-0.49369999999999997
O=c1c2ccc3c4c2c(c(=O)n1c1ccc(cc1)N=Cc1ccc2c5c1ccc1c5c(cc2)ccc1)ccc4c1c2c3ccc3c2c(cc1)c(=O)n(c3=O)c1ccc(cc1)N=Cc1ccc2c3c1ccc1c3c(cc2)ccc1,O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccc(N=Cc2ccc3ccc7cccc8ccc2c3c78)cc1)c64)C(=O)N(c1ccc(N=Cc2ccc3ccc4cccc6ccc2c3c46)cc1)C5=O,515.0,997.0819999999998,16.634399999999978,99.47999999999999,0,6,6,17,15,0.0,78,360,15.0
O=c1c2ccc3c4c2c(c(=O)n1c1ccc(cc1)N=C1c2ccccc2c2c1cccc2)ccc4c1c2c3ccc3c2c(cc1)c(=O)n(c3=O)c1ccc(cc1)N=C1c2ccccc2c2c1cccc2,O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccc(N=C2c3ccccc3-c3ccccc32)cc1)c64)C(=O)N(c1ccc(N=C2c3ccccc3-c3ccccc32)cc1)C5=O,487.0,896.9619999999999,13.637399999999976,99.47999999999999,0,6,4,15,11,0.0,70,324,13.637399999999976
O=c1c2ccc3c4c2c(c(=O)n1c1ccc(cc1)N=Cc1ccc(cc1)[N+](=O)[O-])ccc4c1c2c3ccc3c2c(cc1)c(=O)n(c3=O)c1ccc(cc1)N=Cc1ccc(cc1)[N+](=O)[O-],O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccc(N=Cc2ccc([N+](=O)[O-])cc2)cc1)c64)C(=O)N(c1ccc(N=Cc2ccc([N+](=O)[O-])cc2)cc1)C5=O,492.0,838.792,10.65599999999999,185.75999999999996,0,10,8,11,9,0.0,64,304,10.65599999999999
