canonical_smi,solvent_grouped,et30,lambda_max_exp_nm
Cc1c(C(N)=O)c(=O)oc2cc3c(cc12)nc(Nc1ccccc1)n3C,Ethanol,51.9,353.0
Oc1ccccc1-c1nc(-c2ccccc2)cs1,Acetonitrile,45.6,333.0
CCc1nnc(-c2ccn3c(C)nc(Cl)c3c2)o1,DCM,40.7,248.0
CC(=O)Nc1ccc(C=C2Oc3ccccc3C2=O)cc1,Methanol,55.4,395.0
Cn1c(-c2cnc(-c3nc4ccccc4n3C)cn2)nc2ccccc21,DMSO,45.1,397.0
CCN(CC)c1ccc2c(C#N)c(C=C(C#N)c3nc4ccccc4o3)c(=O)oc2c1,Toluene,33.9,611.0
N#CC(=Cc1ccc(-c2ncc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3nsnc23)s1)C(=O)O,DCM,40.7,546.0
CCN(CC)c1ccc2cc(C=CC3=[O+][B-](F)(F)Oc4c3c(=O)n(C)c3ccccc43)c(=O)oc2c1,Methanol,55.4,612.0
COc1ccc(C(=O)SCCC[Si](OC)(OC)OC)cc1,Chloroform,39.1,282.0
C(#Cc1c2ccccc2c(C#Cc2ccccc2)c2ccccc12)c1ccccc1,DCM,40.7,464.0
O=[N+]([O-])c1ccc(-c2scc3c2OCCO3)cc1,DCM,40.7,376.0
COc1ccc(-c2cn3ccc(C=Cc4ccc(SC)cc4)cc3n2)cc1,Toluene,33.9,484.0
Brc1cccc(C=NCCN=Cc2cccc(Br)c2)c1,DCM,40.7,244.0
CC(C)(C)c1ccc(-c2sc(-c3ccc(C(C)(C)C)cc3)c3[nH]c(-c4ccc(-c5ccc(C=C(C#N)C(=O)O)s5)s4)nc23)cc1,THF,37.4,428.0
Cc1c(O)ccc(N=Nc2ccc(C(F)(F)F)cc2[N+](=O)[O-])c1O,Acetone,42.2,408.0
CO[Si](CCCSC(=O)c1ccccc1N)(OC)OC,Chloroform,39.1,348.0
CCN(CC)c1ccc(N=Nc2nc3ccc([N+](=O)[O-])cc3s2)c(O)c1,Methanol,55.4,538.0
O=[N+]([O-])c1ccc(-c2cnc3cc(O)c(-c4nc5ccccc5[nH]4)cc3c2)cc1,Ethanol,51.9,340.0
CCN(CC)c1ccc(N=Nc2nc(-c3cc4ccccc4oc3=O)cs2)cc1,DMSO,45.1,508.0
Cc1cc(C)cc(N2C(=O)c3cccc4cc(N=Cc5cccs5)cc(c34)C2=O)c1,Chloroform,39.1,408.0
