SMI,canonical_smi,lambda_max_exp_nm,extinction,solvent
O=c1[nH]c(=O)n(cc1F)C1CCCO1,O=c1[nH]c(=O)n(C2CCCO2)cc1F,205.0,,
CN(c1c(C)c(C)c(c(c1C)C)N(C)C)C,Cc1c(C)c(N(C)C)c(C)c(C)c1N(C)C,264.0,,
N#CC(c1ccccc1)NC(Cc1ccccc1)C,CC(Cc1ccccc1)NC(C#N)c1ccccc1,495.0,,Ethanol
POS,POS,427.0,70794.57844,
Cc1[nH]c2c(c1N=Nc1nncs1)cccc2,Cc1[nH]c2ccccc2c1N=Nc1nncs1,469.0,,DMSO
Cn1c(C)c(c2c1cccc2)N=Nc1nncs1,Cc1c(N=Nc2nncs2)c2ccccc2n1C,441.0,,DMSO
c1ccc(cc1)c1[nH]c2c(c1N=Nc1nncs1)cccc2,c1ccc(-c2[nH]c3ccccc3c2N=Nc2nncs2)cc1,496.0,,DMSO
Cn1c(c2ccccc2)c(c2c1cccc2)N=Nc1nncs1,Cn1c(-c2ccccc2)c(N=Nc2nncs2)c2ccccc21,452.0,,DMSO
CSc1nnc(s1)N=Nc1c(C)[nH]c2c1cccc2,CSc1nnc(N=Nc2c(C)[nH]c3ccccc23)s1,462.0,,DMSO
CSc1nnc(s1)N=Nc1c2ccccc2n(c1C)C,CSc1nnc(N=Nc2c(C)n(C)c3ccccc23)s1,460.0,,DMSO
CSc1nnc(s1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,CSc1nnc(N=Nc2c(-c3ccccc3)[nH]c3ccccc23)s1,509.0,,DMSO
CSc1nnc(s1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,CSc1nnc(N=Nc2c(-c3ccccc3)n(C)c3ccccc23)s1,466.0,,DMSO
O=CN(C)C,CN(C)C=O,469.0,,DMSO
CCc1nnc(s1)N=Nc1c2ccccc2n(c1C)C,CCc1nnc(N=Nc2c(C)n(C)c3ccccc23)s1,442.0,,DMSO
CCc1nnc(s1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,CCc1nnc(N=Nc2c(-c3ccccc3)[nH]c3ccccc23)s1,499.0,,DMSO
CCc1nnc(s1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,CCc1nnc(N=Nc2c(-c3ccccc3)n(C)c3ccccc23)s1,450.0,,DMSO
Cc1[nH]c2c(c1N=Nc1n[nH]c(n1)S)cccc2,Cc1[nH]c2ccccc2c1N=Nc1n[nH]c(S)n1,388.0,,DMSO
Sc1[nH]nc(n1)N=Nc1c(C)n(c2c1cccc2)C,Cc1c(N=Nc2n[nH]c(S)n2)c2ccccc2n1C,402.0,,DMSO
Sc1[nH]nc(n1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,Sc1nc(N=Nc2c(-c3ccccc3)[nH]c3ccccc23)n[nH]1,411.0,,DMSO
Sc1[nH]nc(n1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,Cn1c(-c2ccccc2)c(N=Nc2n[nH]c(S)n2)c2ccccc21,394.0,,DMSO
NC(=N)c1ccc(cc1)OCCOCCOc1ccc(cc1)C(=N)N,N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2)cc1,327.0,,
O=C(c1cccc(c1O)O)c1ccccc1,O=C(c1ccccc1)c1cccc(O)c1O,327.0,,
COC(=O)C1=C(C)NC2=C(C1c1ccccc1Cl)C(=O)C(CC2)(C)C,COC(=O)C1=C(C)NC2=C(C(=O)C(C)(C)CC2)C1c1ccccc1Cl,367.0,,methanol
