SMI,canonical_smi,lambda_max_exp_nm,extinction,solvent
O=c1[nH][nH]c(=O)c2c1cccc2,O=c1[nH][nH]c(=O)c2ccccc12,300.0,12250.0,
CCn1c2ccccc2c2c1cc(cc2)c1ccc(cc1)C=Cc1ccc(cc1)C=C(c1ccccc1)c1ccccc1,CCn1c2ccccc2c2ccc(-c3ccc(C=Cc4ccc(C=C(c5ccccc5)c5ccccc5)cc4)cc3)cc21,418.0,,
O=Cc1ccc(cc1)C=CC(=O)c1c(=O)oc2c(c1O)cccc2,O=Cc1ccc(C=CC(=O)c2c(O)c3ccccc3oc2=O)cc1,370.0,,
Cc1ccc2c(c1)nc1n2c(cc2c1c(C)nn2c1ccccc1)c1ccccc1,Cc1ccc2c(c1)nc1c3c(C)nn(-c4ccccc4)c3cc(-c3ccccc3)n21,285.0,,
Cc1cc(C(c2ccccc2)c2ccccc2)c(c(c1)c1nc2c([nH]1)cc(cc2)Cl)O,Cc1cc(-c2nc3ccc(Cl)cc3[nH]2)c(O)c(C(c2ccccc2)c2ccccc2)c1,225.0,,
[N-]=[N+]=NCCOCCOCCNC(=O)c1cc2ccc(cc2oc1=O)N(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,[N-]=[N+]=NCCOCCOCCNC(=O)c1cc2ccc(N(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O)cc2oc1=O,403.0,,
O=C(c1ccccc1)c1ccc(cc1)COc1ccccc1,O=C(c1ccccc1)c1ccc(COc2ccccc2)cc1,263.0,,THF
COc1cc2ccccc2cc1C=Cc1ccc2c(c1)ccc1c2C=CC(O1)(c1ccccc1)c1ccccc1,COc1cc2ccccc2cc1C=Cc1ccc2c3c(ccc2c1)OC(c1ccccc1)(c1ccccc1)C=C3,484.0,,
CCN1C(=S)N(CC)C(=O)C(=CC=CC=CC=c2n(c3ccccc3)c3c(n2c2ccccc2)cccc3)C1=O,CCN1C(=O)C(=CC=CC=CC=C2N(c3ccccc3)c3ccccc3N2c2ccccc2)C(=O)N(CC)C1=S,700.0,,EtOH
O[C@@H]1CCN2[C@@H](C1)C(C)(C)c1c2ccc2c1cccc2,CC1(C)c2c(ccc3ccccc23)N2CC[C@@H](O)C[C@H]21,307.0,53870.0,
Oc1c(Br)cc(cc1Br)C1(OS(=O)(=O)c2c1cccc2)c1cc(Br)c(c(c1)Br)O,O=S1(=O)OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21,591.0,,
c1ccc(cc1)C=Cc1ncc(nc1)C=Cc1ccccc1,C(=Cc1cnc(C=Cc2ccccc2)cn1)c1ccccc1,434.0,39000.0,
COc1cccc(c1O)OC,COc1cccc(OC)c1O,468.0,,
Nc1ccc2c(c1)nc1c(n2)c2c3c1cccc3c(cc2)[N+](=O)[O-],Nc1ccc2nc3c(nc2c1)-c1cccc2c([N+](=O)[O-])ccc-3c12,557.0,,
C1(C)c2cc3nc([nH]c3cc2c2c1cc1nc([nH]c1c2)c1ccc(cc1)C)c1ccc(cc1)C,Cc1ccc(-c2nc3cc4c(cc3[nH]2)-c2cc3[nH]c(-c5ccc(C)cc5)nc3cc2C4C)cc1,376.0,,
CCN1CCN(c2c1cc1cc(C(=O)N)c(=O)oc1c2)CC,CCN1CCN(CC)c2cc3oc(=O)c(C(N)=O)cc3cc21,462.0,,Methanol
OCC(Cn1c(=CC=C2C=C(OC)C(=O)C(=C2)OC)sc2c1cccc2)O,COC1=CC(=CC=C2Sc3ccccc3N2CC(O)CO)C=C(OC)C1=O,566.0,,
N#Cc1c(N)nc(c(c1c1ccccc1O)C#N)N,N#Cc1c(N)nc(N)c(C#N)c1-c1ccccc1O,374.0,,THF
C1(C)c2cc(ccc2c2c1cc1nc3c(nc1c2)c1ccccc1c1c3cccc1)c1ccc2c3c1ccc1c3c(cc2)ccc1,CC1c2cc(-c3ccc4ccc5cccc6ccc3c4c56)ccc2-c2cc3nc4c5ccccc5c5ccccc5c4nc3cc21,411.0,,DMSO
COC(=O)C1CCc2c(O1)ccc(c2)Cl,COC(=O)C1CCc2cc(Cl)ccc2O1,230.0,,
c1ccc(cc1)n1c(nc2c1c1ccccc1c1c2cccc1)c1ccc2c3c1ccc1c3C(=CC2)CC=C1,C1=Cc2ccc3c(-c4nc5c6ccccc6c6ccccc6c5n4-c4ccccc4)ccc4c3c2C(=CC4)C1,448.0,,
CCOC(=O)C=c1sc2=NC3=C(C(n2c1=O)c1cccc(c1)[N+](=O)[O-])C3=Cc1cccc(c1)[N+](=O)[O-],CCOC(=O)C=c1sc2n(c1=O)C(c1cccc([N+](=O)[O-])c1)C1=C(N=2)C1=Cc1cccc([N+](=O)[O-])c1,275.61,,
N#Cc1ccc(cc1)C=CC(=O)c1nnn(c1C)c1ccnc2c1ccc(c2)Cl,Cc1c(C(=O)C=Cc2ccc(C#N)cc2)nnn1-c1ccnc2cc(Cl)ccc12,235.0,,methanol
COc1cc(ccc1O)C=C1N=C(N(C1=O)Cc1ccccc1)C,COc1cc(C=C2N=C(C)N(Cc3ccccc3)C2=O)ccc1O,379.0,,
O=C1CN2C(N1)(C)C(c1c2cccc1)(C)C,CC1(C)c2ccccc2N2CC(=O)NC21C,240.0,4500.0,THF
c1ccc2c(c1)oc(c2)C=Cc1cc(C=Cc2cc3c(o2)cccc3)c(cc1C=Cc1cc2c(o1)cccc2)C=Cc1cc2c(o1)cccc2,C(=Cc1cc(C=Cc2cc3ccccc3o2)c(C=Cc2cc3ccccc3o2)cc1C=Cc1cc2ccccc2o1)c1cc2ccccc2o1,377.0,,
Nc1nc(N)nc(n1)N,Nc1nc(N)nc(N)n1,258.0,,
CC(=O)Nc1ccc2c(c1S(=O)(=O)O)cccc2S(=O)(=O)O,CC(=O)Nc1ccc2c(S(=O)(=O)O)cccc2c1S(=O)(=O)O,548.0,10100.0,
COc1ccc2c(c1)c(c1ccc(cc1)F)c([nH]2)c1ccc(cc1)S(=O)(=O)C,COc1ccc2[nH]c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(F)cc3)c2c1,237.0,,
ClCCc1cn2nc(c(c2nc1C)C#N)Cl,Cc1nc2c(C#N)c(Cl)nn2cc1CCCl,322.0,,
O=C1C(=Cc2ccc(c3c2cccc3N(C)C)N(C)C)CCC1=Cc1ccc(c2c1cccc2N(C)C)N(C)C,CN(C)c1cccc2c(C=C3CCC(=Cc4ccc(N(C)C)c5c(N(C)C)cccc45)C3=O)ccc(N(C)C)c12,502.0,,
Nc1nc(Br)c2c(c1c1ccccc1)cccc2,Nc1nc(Br)c2ccccc2c1-c1ccccc1,447.0,,
Cn1c(ncc1c1ccc(cc1)N(C)C)c1ccc(cc1)c1nc2c(s1)cccc2,CN(C)c1ccc(-c2cnc(-c3ccc(-c4nc5ccccc5s4)cc3)n2C)cc1,351.0,32700.0,
C=CCOc1nc(Nc2ccc3c(c2)nn(n3)c2cc(ccc2O)[N+](=O)[O-])nc(n1)N1C(C)(C)CC(CC1(C)C)OCC=C,C=CCOc1nc(Nc2ccc3nn(-c4cc([N+](=O)[O-])ccc4O)nc3c2)nc(N2C(C)(C)CC(OCC=C)CC2(C)C)n1,352.0,,
O=C1C(=CC=C2C=C(OC(=C2)c2ccccc2)c2ccccc2)C(=O)c2c1cccc2,O=C1C(=CC=C2C=C(c3ccccc3)OC(c3ccccc3)=C2)C(=O)c2ccccc21,528.0,,dichloromethane
Cc1ccn(n1)c1ccccn1,Cc1ccn(-c2ccccn2)n1,381.0,,acetonitrile
COC(=O)c1cc2[nH]c(nc2cc1C(=O)OC)c1ccccc1O,COC(=O)c1cc2nc(-c3ccccc3O)[nH]c2cc1C(=O)OC,462.0,,
CN(C(=Cc1ccccc1)c1ccnc(c1)c1nccc(c1)C(=Cc1ccccc1)N(C)C)C,CN(C)C(=Cc1ccccc1)c1ccnc(-c2cc(C(=Cc3ccccc3)N(C)C)ccn2)c1,760.0,,
Cc1ccc2c(c1)oc(n2)c1ccc(nc1)c1nc2c(o1)cc(cc2)C,Cc1ccc2nc(-c3ccc(-c4nc5ccc(C)cc5o4)nc3)oc2c1,363.0,,
C=Cc1ccc(cc1)Cn1c2ccccc2c2c1cccc2,C=Cc1ccc(Cn2c3ccccc3c3ccccc32)cc1,363.0,,
O1CCN(CC1)c1ccc2c3c1cccc3c1c2nc2c(n1)c1cccnc1c1c2cccn1,c1cc2c3c(ccc(N4CCOCC4)c3c1)-c1nc3c4cccnc4c4ncccc4c3nc1-2,364.0,,TFA
O=CC=Cc1ccccc1,O=CC=Cc1ccccc1,340.4,,
COc1ccc(cc1)C=Cc1ccc2c(n1)c(O)c(c(c2)F)F,COc1ccc(C=Cc2ccc3cc(F)c(F)c(O)c3n2)cc1,352.0,,acetonitrile
C=C[C@H]1CN2CCC1C[C@@H]2[C@H](c1ccnc2c1cc(OC)cc2)Oc1nnc(c2c1cccc2)Cl,C=C[C@H]1CN2CCC1C[C@@H]2[C@@H](Oc1nnc(Cl)c2ccccc12)c1ccnc2ccc(OC)cc12,281.0,,
c1ccc(cc1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4sc1cc4)c1ccccc1)C=C3)c1ccccc1)[nH]2)c1ccccc1,C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc(s3)c2-c2ccccc2)C=C1,675.0,186208.7137,
Fc1ccc(cc1)NC(C1=C(O)C(=O)c2c(C1=O)cccc2)c1ccccc1,O=C1C(O)=C(C(Nc2ccc(F)cc2)c2ccccc2)C(=O)c2ccccc21,473.0,28183.82931,
Clc1ccc(cc1)N=Nc1c(N)nn2c1nc(N)c(c2N)N=Nc1nc2c(s1)cccc2,Nc1nc2c(N=Nc3ccc(Cl)cc3)c(N)nn2c(N)c1N=Nc1nc2ccccc2s1,494.0,,
COc1c(cc(cc1C(C)(C)C)C=C1C(=O)C=CC1=O)C(C)(C)C,COc1c(C(C)(C)C)cc(C=C2C(=O)C=CC2=O)cc1C(C)(C)C,339.0,9592.0,
Nc1ccnc(c1)c1ccccn1,Nc1ccnc(-c2ccccn2)c1,336.0,,
Cn1c2ccc(cc2c2c1ccc(c2)c1sccc1c1cccs1)c1sccc1c1cccs1,Cn1c2ccc(-c3sccc3-c3cccs3)cc2c2cc(-c3sccc3-c3cccs3)ccc21,675.72,,Benzyl alcohol
Cc1nn(c2c1c1nc3c(n1c(c2)c1ccccc1)cc(cc3)c1ccccc1)c1ccccc1,Cc1nn(-c2ccccc2)c2cc(-c3ccccc3)n3c4cc(-c5ccccc5)ccc4nc3c12,295.0,,
[O-][N+](=O)c1ccc(cc1)c1ccc(nc1)c1ccccn1,O=[N+]([O-])c1ccc(-c2ccc(-c3ccccn3)nc2)cc1,322.0,,
OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@H]1O)O)O,O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,356.0,,
COc1ccc(cc1)C=C1N=C(N(C1=O)Cc1ccccc1)C,COc1ccc(C=C2N=C(C)N(Cc3ccccc3)C2=O)cc1,370.0,,
c1ccc2c(c1)nc(o2)c1ccc(nc1)c1oc2c(n1)cccc2,c1ccc2oc(-c3ccc(-c4nc5ccccc5o4)nc3)nc2c1,355.0,,
O=C1c2cc(ccc2c2c1cc(cc2)C#Cc1ccc(cc1)C#C[Si](C)(C)C)C#Cc1ccc(cc1)C#C[Si](C)(C)C,C[Si](C)(C)C#Cc1ccc(C#Cc2ccc3c(c2)C(=O)c2cc(C#Cc4ccc(C#C[Si](C)(C)C)cc4)ccc2-3)cc1,531.0,,
Clc1ccc(cc1)Cn1c(C=Cc2ccco2)nc(c1c1ccco1)c1ccco1,Clc1ccc(Cn2c(C=Cc3ccco3)nc(-c3ccco3)c2-c2ccco2)cc1,351.0,,
Oc1ccc2c(c1)Oc1c(C32OC(=O)c2c3cccc2)ccc(c1)O,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,512.0,,PBS
Cc1cccc(n1)c1nc2c(o1)c1cccnc1c1c2cccn1,Cc1cccc(-c2nc3c4cccnc4c4ncccc4c3o2)n1,289.0,50980.0,
C#Cc1sc(c(c1C1=C(c2cc(sc2C)c2ccccc2)C(C(C1(F)F)(F)F)(F)F)C)C#C,C#Cc1sc(C#C)c(C2=C(c3cc(-c4ccccc4)sc3C)C(F)(F)C(F)(F)C2(F)F)c1C,579.0,,
c1ccc(cc1)n1cccc1,c1ccc(-n2cccc2)cc1,310.0,,CHCl3
Nn1c(=O)c2cccc3c2c(c1=O)ccc3,NN1C(=O)c2cccc3cccc(c23)C1=O,340.0,,DMSO
Clc1ccc(c(c1)F)C(=O)On1c(=O)c2cccc3c2c(c1=S)ccc3,O=C(ON1C(=O)c2cccc3cccc(c23)C1=S)c1ccc(Cl)cc1F,435.6,,
Fc1ccccc1c1c([nH]c2c1cccc2)c1ccc(cc1)S(=O)(=O)C,CS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccccc2F)cc1,236.0,,
Cc1sc(c(c1)C1=C(CCC1=O)c1cccc2c1cccc2)C,Cc1cc(C2=C(c3cccc4ccccc34)CCC2=O)c(C)s1,305.0,,
CO[Si](CCCSC(=O)c1cccnc1)(OC)OC,CO[Si](CCCSC(=O)c1cccnc1)(OC)OC,265.0,123000.0,chloroform
N#Cc1ccc2c(c1)c1ccccc1n2c1ccc2c(c1)n(CC)c1c2cccc1,CCn1c2ccccc2c2ccc(-n3c4ccccc4c4cc(C#N)ccc43)cc21,494.0,,
COC(=O)C(=[N+](c1ccccc1)[O-])c1ccccc1,COC(=O)C(c1ccccc1)=[N+]([O-])c1ccccc1,618.0,,Methylene chloride
CCNc1cccc2c1C(=O)c1ccccc1C2=O,CCNc1cccc2c1C(=O)c1ccccc1C2=O,510.0,,dichloromethane
O=C1OC(=O)c2c3c1ccc1c3c(cc2)c2c3c1ccc(c3ccc2)N(c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C,CC(C)(C)c1ccc(N(c2ccc(C(C)(C)C)cc2)c2ccc3c4ccc5c6c(ccc(c7cccc2c73)c64)C(=O)OC5=O)cc1,593.0,,
Clc1sc(c(c1Cl)Cl)Cl,Clc1sc(Cl)c(Cl)c1Cl,579.0,,Acetone
n1ccc(cc1)C=Cc1ccncc1,C(=Cc1ccncc1)c1ccncc1,203.0,13000.0,
[O-][N+](=O)c1ccc2c(n1)cccc2,O=[N+]([O-])c1ccc2ccccc2n1,335.0,,
CCCOC(=O)C=Cc1c2ccccc2nc2c1cccc2,CCCOC(=O)C=Cc1c2ccccc2nc2ccccc12,360.0,,
COc1ccc(cc1)C=Cc1c(F)c(F)c(c(c1F)F)C=Cc1ccc(cc1)OC,COc1ccc(C=Cc2c(F)c(F)c(C=Cc3ccc(OC)cc3)c(F)c2F)cc1,329.0,,dichloromethane
Cc1nc(c2n1ccc(c2)c1nnc(o1)c1cc(nn1Cc1ccc(cc1)F)c1ccc(cc1)C)Cl,Cc1ccc(-c2cc(-c3nnc(-c4ccn5c(C)nc(Cl)c5c4)o3)n(Cc3ccc(F)cc3)n2)cc1,400.0,,
c1ccc2c(c1)Sc1c(N2)nc2c(n1)cccc2,c1ccc2c(c1)Nc1nc3ccccc3nc1S2,425.0,7400.0,
OS(=O)(=O)c1cccc2c1c(ccc2)Nc1ccccc1,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,520.0,,
OC(=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])NOC(c1ccccc1)(c1ccccc1)c1ccccc1,O=C(O)c1cc([N+](=O)[O-])c(NOC(c2ccccc2)(c2ccccc2)c2ccccc2)c([N+](=O)[O-])c1,405.0,3890.45145,methanol
CCN1C(=O)C(=CC=CC=c2n(c3ccccc3)c3c(n2c2ccccc2)cccc3)C(=O)N(C1=S)CC,CCN1C(=O)C(=CC=CC=C2N(c3ccccc3)c3ccccc3N2c2ccccc2)C(=O)N(CC)C1=S,587.0,,EtOH
CC(=O)Nc1ccc(cc1N)C(=O)O,CC(=O)Nc1ccc(C(=O)O)cc1N,520.0,,
Clc1cc(C=NN=Cc2ccc3c4c2ccc2c4c(cc3)ccc2)c(c(c1)Cl)O,Oc1c(Cl)cc(Cl)cc1C=NN=Cc1ccc2ccc3cccc4ccc1c2c34,387.0,34700.0,CH 3 CN
COc1cc(c(cc1C(=Cc1ccc(cc1)C#N)C#N)OC)C(=Cc1ccc(cc1)C#N)C#N,COc1cc(C(C#N)=Cc2ccc(C#N)cc2)c(OC)cc1C(C#N)=Cc1ccc(C#N)cc1,442.0,,dichloromethane
Cc1cc(C)c(c(c1)C)B(c1c(C)cc(cc1C)C)c1ccc(cc1)C#Cc1ccc(cc1)C(=C(c1ccccc1)c1ccccc1)c1ccccc1,Cc1cc(C)c(B(c2ccc(C#Cc3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)cc2)c2c(C)cc(C)cc2C)c(C)c1,332.0,,
COc1cc(OC)ccc1C=c1oc(=Cc2ccccc2)c2c1cccc2,COc1ccc(C=c2oc(=Cc3ccccc3)c3ccccc23)c(OC)c1,386.0,32300.0,
Cc1ccsc1c1sc(c2c1cccc2)c1ccc2c(c1)c1ccccc1n2C,Cc1ccsc1-c1sc(-c2ccc3c(c2)c2ccccc2n3C)c2ccccc12,450.0,,CH 2 Cl
CO[Si](CCCSC(=O)c1ccccc1[N+](=O)[O-])(OC)OC,CO[Si](CCCSC(=O)c1ccccc1[N+](=O)[O-])(OC)OC,265.0,111700.0,chloroform
Cc1nc(c2n1ccc(c2)c1nnc(o1)c1ccc(cc1)Cl)Cl,Cc1nc(Cl)c2cc(-c3nnc(-c4ccc(Cl)cc4)o3)ccn12,273.0,30116.0,dichloromethane
COC(=O)[C@H](Cc1ccc2c(c1)nc(o2)c1c2ccccc2cc2c1cccc2)NC(=O)OC(C)(C)C,COC(=O)[C@H](Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,508.0,8912.509381,methanol
c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)c1ccc(s1)c1ccncn1,c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4ccncn4)s3)cc2)cc1,403.0,,MeCN
[O-][N+](=O)c1cc2C(=CC=C3C=C(OC(=C3)c3ccccc3)c3ccccc3)c3c(c2c(c1)[N+](=O)[O-])c(cc(c3)[N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])c1cc2c(c([N+](=O)[O-])c1)-c1c(cc([N+](=O)[O-])cc1[N+](=O)[O-])C2=CC=C1C=C(c2ccccc2)OC(c2ccccc2)=C1,684.0,,Toluene
Cc1cc(sc1C1=C(c2sc(cc2C)c2ccccc2)C(C(C1(F)F)(F)F)(F)F)c1ccccc1,Cc1cc(-c2ccccc2)sc1C1=C(c2sc(-c3ccccc3)cc2C)C(F)(F)C(F)(F)C1(F)F,438.0,,
c1csc(c1)C=Cc1cccs1,C(=Cc1cccs1)c1cccs1,534.0,,
N#CC(=Cc1ccc(s1)c1ccc(s1)c1ccc(s1)N(c1ccc(cc1)C)c1ccc(cc1)C)c1ccc(cc1)C(=O)O,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc(-c4ccc(C=C(C#N)c5ccc(C(=O)O)cc5)s4)s3)s2)cc1,650.0,,
c1ccc2c(c1)[nH]c1c2cccc1,c1ccc2c(c1)[nH]c1ccccc12,344.0,,
OC(=O)C=Cc1ccccc1O,O=C(O)C=Cc1ccccc1O,216.0,,
Cc1ccc(s1)c1sc(c2c1cccc2)c1ccc2c(c1)C(CC)(CC)c1c2cccc1,CCC1(CC)c2ccccc2-c2ccc(-c3sc(-c4ccc(C)s4)c4ccccc34)cc21,435.0,,CH 2 Cl
Cc1nc(c2n1ccc(c2)c1nnc(o1)c1cc(nn1Cc1ccc(cc1)Cl)c1ccccc1)Cl,Cc1nc(Cl)c2cc(-c3nnc(-c4cc(-c5ccccc5)nn4Cc4ccc(Cl)cc4)o3)ccn12,402.0,,
Clc1ccc2c(c1)nn(n2)c1c(C)[nH]n(c1=O)c1ccccc1,Cc1[nH]n(-c2ccccc2)c(=O)c1-n1nc2ccc(Cl)cc2n1,326.0,,ethanol
O=C1C=CC(=CC=c2ccc3c(n2C)cccc3)c2c1nccc2,CN1C(=CC=C2C=CC(=O)c3ncccc32)C=Cc2ccccc21,611.0,,THF
c1ccc(nc1)N(c1cc(cc(c1)n1c2ccccc2c2c1cccc2)N(c1ccccn1)c1ccccn1)c1ccccn1,c1ccc(N(c2cc(N(c3ccccn3)c3ccccn3)cc(-n3c4ccccc4c4ccccc43)c2)c2ccccn2)nc1,294.0,,
[O-][N+](=O)c1ccc(cc1)Nc1nnc(s1)c1nccnc1,O=[N+]([O-])c1ccc(Nc2nnc(-c3cnccn3)s2)cc1,259.0,,
C1(C)c2cc(ccc2c2c1cc(cc2)C=C(c1scc2c1OCCO2)C#N)C=C(c1scc2c1OCCO2)C#N,CC1c2cc(C=C(C#N)c3scc4c3OCCO4)ccc2-c2ccc(C=C(C#N)c3scc4c3OCCO4)cc21,340.0,,DMSO
COc1ccc2c3c1ccc1c3c(cc2)c(cc1)OC,COc1ccc2ccc3c(OC)ccc4ccc1c2c43,423.0,,
Cc1ccc2c(n1)c(ccc2N=Nc1ccc(cc1)N(C)C)OC(=O)c1ccccc1,Cc1ccc2c(N=Nc3ccc(N(C)C)cc3)ccc(OC(=O)c3ccccc3)c2n1,518.0,,
Nc1nc(N)c2c(n1)nn[nH]2,Nc1nc(N)c2[nH]nnc2n1,410.0,,
[O-][N+](=O)c1ccc(cc1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,O=[N+]([O-])c1ccc(N=Nc2c(-c3ccccc3)[nH]c3ccccc23)cc1,445.0,60255.95861,Methanol
OC[C@@](C(=O)Nc1ccc(cc1)C(=O)Nc1ccn(c(=O)n1)[C@H]1CC[C@@H]([C@H](O1)C)O[C@H]1O[C@H](C)[C@H]([C@@H]([C@H]1O)O)N(C)C)(N)C,C[C@H]1O[C@H](O[C@H]2CC[C@H](n3ccc(NC(=O)c4ccc(NC(=O)[C@@](C)(N)CO)cc4)nc3=O)O[C@@H]2C)[C@H](O)[C@@H](O)[C@@H]1N(C)C,445.0,,
C(=O)N([C@H](C(=O)O)C(C)C)Cc1ccc(cc1)c1ccccc1c1n[nH]nn1,CC(C)[C@@H](C(=O)O)N(C=O)Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,250.0,14500.0,
Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,378.0,,
Cc1cc(C)c2c(c(c1)C)c(cc2)N=Nc1nc2c(s1)cccc2,Cc1cc(C)c2ccc(N=Nc3nc4ccccc4s3)c-2c(C)c1,496.0,,
O=C1OC(=NC1=Cc1ccccc1)c1ccccc1,O=C1OC(c2ccccc2)=NC1=Cc1ccccc1,363.0,,THF
Cc1ccsc1c1sc(c2c1cccc2)c1ccc(s1)C1(C=CC2=C(C1)C(C)(C)c1c2cccc1)c1cccs1,Cc1ccsc1-c1sc(-c2ccc(C3(c4cccs4)C=CC4=C(C3)C(C)(C)c3ccccc34)s2)c2ccccc12,455.0,,CH 2 Cl
OS(=O)(=O)c1cccc2c1ccc1c2nn(n1)c1ccc(cc1)c1nc(c([nH]1)c1ccccc1)c1ccccc1,O=S(=O)(O)c1cccc2c1ccc1nn(-c3ccc(-c4nc(-c5ccccc5)c(-c5ccccc5)[nH]4)cc3)nc12,359.0,,DMSO
c1csc(c1)c1cc2ccc3c4c2c(n1)c1ccccc1c4nc(c3)c1cccs1,c1csc(-c2cc3ccc4cc(-c5cccs5)nc5c6ccccc6c(n2)c3c45)c1,346.0,,toluene
Clc1ccc(cc1)n1ncc(c1)c1nc2c([nH]1)cccc2,Clc1ccc(-n2cc(-c3nc4ccccc4[nH]3)cn2)cc1,307.0,,
OC1(CCC1)c1ccc(s1)c1cccs1,OC1(c2ccc(-c3cccs3)s2)CCC1,316.0,,Hexane
N#Cc1cc2ccc3c(c2c2c1ccc1c2c2ccccc2cc1)c1ccccc1cc3,N#Cc1cc2ccc3ccc4ccccc4c3c2c2c1ccc1ccc3ccccc3c12,267.0,,dichloromethane
Cc1cc(C)cc(c1B(c1c(C)cc(cc1C)C)c1ccc(s1)B1Oc2c(O1)cccc2)C,Cc1cc(C)c(B(c2ccc(B3Oc4ccccc4O3)s2)c2c(C)cc(C)cc2C)c(C)c1,335.0,17000.0,C6H12
CCn1c2ccc(cc2c2c1ccc(c2)CO)CO,CCn1c2ccc(CO)cc2c2cc(CO)ccc21,405.0,,
O=C(c1cc2ccc3c4c2c(c1C(=O)NC(C)(C)C)ccc4ccc3)NC(C)(C)C,CC(C)(C)NC(=O)c1cc2ccc3cccc4ccc(c1C(=O)NC(C)(C)C)c2c34,385.0,,
N#Cc1c(N)nc(c(c1c1ccc(cc1)O)C#N)N,N#Cc1c(N)nc(N)c(C#N)c1-c1ccc(O)cc1,338.0,,THF
CC(=O)Nc1ccc(cc1)C(C(=O)C)Cl,CC(=O)Nc1ccc(C(Cl)C(C)=O)cc1,337.0,,
O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1ncnc2N)COP(=O)(O)O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,257.0,,
c1ccc2c(c1)[nH]cc2,c1ccc2[nH]ccc2c1,350.0,,
OC[C@H]1OC([C@@H]([C@H]([C@@H]1O)O)O)n1c2c3[nH]c4c(c3c3c(c2c2c1cc(O)cc2)c(=O)[nH]c3=O)ccc(c4)O,O=C1NC(=O)c2c1c1c3ccc(O)cc3[nH]c1c1c2c2ccc(O)cc2n1C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,837.7,,
O=Cc1ccc2c3c1ccc1c3c(cc2)ccc1,O=Cc1ccc2ccc3cccc4ccc1c2c34,393.0,,hexane
O=C(c1cccs1)NCCC[Si]12OCCN(CCO1)CCO2,O=C(NCCC[Si]12OCCN(CCO1)CCO2)c1cccs1,248.0,,
CC[C@H](N(C(=O)c1cc2ccccc2cc1c1cc2ccccc2cc1C(=O)OC)C)C,CC[C@@H](C)N(C)C(=O)c1cc2ccccc2cc1-c1cc2ccccc2cc1C(=O)OC,257.2,18700.0,
Clc1cc(Cl)cc(c1)C(=O)On1c(=O)c2cccc3c2c(c1=S)ccc3,O=C(ON1C(=O)c2cccc3cccc(c23)C1=S)c1cc(Cl)cc(Cl)c1,435.6,,
Fc1ccccc1Cc1n[nH]c(=S)n1N,Nn1c(Cc2ccccc2F)n[nH]c1=S,357.0,,MeCN
Cc1nc(c2n1ccc(c2)c1nnc(o1)c1cc(nn1Cc1ccc(cc1)[N+](=O)[O-])c1ccccc1)Cl,Cc1nc(Cl)c2cc(-c3nnc(-c4cc(-c5ccccc5)nn4Cc4ccc([N+](=O)[O-])cc4)o3)ccn12,403.0,,
Oc1c(oc2c(c1=O)cccc2)c1cccs1,O=c1c(O)c(-c2cccs2)oc2ccccc12,357.0,,
Clc1ccc(cc1)N=Nc1sc(nc1c1ccc(cc1)NC(=O)c1ccccc1)N,Nc1nc(-c2ccc(NC(=O)c3ccccc3)cc2)c(N=Nc2ccc(Cl)cc2)s1,487.0,,DMSO
